domain,canonical_tag,uses,variants
theguardian.com,Guardian,113,Guardian|Guard
temee.us16.list-manage.com,Variety,101,Variety|TC|Deadline|Reuters|BW|NYT
open.spotify.com,Spot,98,Spot|Spotify|Kindred|SpotMoment|SpotAxios|20minVC
vice.com,Vice,96,Vice
washingtonpost.com,Washpo,94,Washpo|WashPo|WP|washpo|Wshpo|Wapo
recode.net,ReCode,93,ReCode|Recode
ft.com,FT,93,FT
cbinsights.com,CBI,93,CBI|CBInsights|CBI1|CBI2
engadget.com,Engadget,93,Engadget|Engadg|Engad|Eng
billboard.com,Bboard,89,Bboard|Billboard|MRCdata
thewrap.com,Wrap,89,Wrap|VI|TheWrap|The Wrap
globenewswire.com,GN,85,GN|BW|BN|GNW|Newswire|PR
digiday.com,Digiday,84,Digiday|DigiDay|Digi|DD
avc.com,AVC,81,AVC|USV|Vice
vox.com,Vox,78,Vox|Recode|ReCode
nanalyze.com,Nana,78,Nana|Nanalyze|Nan
gamesindustry.biz,GIB,78,GIB|GIBiz|GameIndustryBiz
npr.org,NPR,77,NPR
musicbusinessworldwide.com,MBW,73,MBW|Vice
stratechery.com,Stratechery,70,Stratechery|Stratech|Strat
latimes.com,LAT,69,LAT|LATimes|LA Times
qz.com,QZ,66,QZ|Quartz
a16z.com,a16z,66,a16z|A16Z|Future|a16zPDF|PDF|a16zblog
protocol.com,Prot,66,Prot|Protocol
inputmag.com,Input,65,Input|input|IM
producthunt.com,PH,63,PH|ProductHunt|Ph
sec.gov,SEC,63,SEC|S1|PDF|S1Docs|Sec|Eldridge
rollingstone.com,RS,61,RS|RollingS|RollingStone|Rolling Stone|RolS|Rollingstone
coindesk.com,CD,61,CD|CB|CT|TC|Cd
nypost.com,NYP,60,NYP|NYPost|NYpost
adweek.com,Adweek,59,Adweek|AW|AdWeek|AdW|Adage
sportspromedia.com,SP,59,SP|SPM|SPro|SportsP|SportPro|Sport
vanityfair.com,VF,58,VF|Vanity Fair
gq.com,GQ,56,GQ
cnet.com,CNET,56,CNET|Cnet
bbc.com,BBC,56,BBC
sportico.com,Sportico,56,Sportico|Sport|Sportco|TC
fortune.com,Fortune,55,Fortune|Fort
vulture.com,Vulture,55,Vulture|Digiday|Vult|Vultuure
geekwire.com,GW,52,GW|GeekWire
espn.com,ESPN,48,ESPN|EPSN
buzzfeednews.com,BF,47,BF|Buzzfeed
arstechnica.com,ArsT,45,ArsT|ArsTechnica|Arst
500ish.com,500ish,45,500ish|Med|Medium|MGblog|500ish Words
puck.news,Puck,43,Puck|PudkPDF|part 1|part 2
goldmansachs.com,GS,42,GS|PDF|GStalks|GSpod
chinamoneynetwork.com,CMN,41,CMN|ChinaMoneyNetwork|China Money Network
neo.life,Neolife,40,Neolife|NeoLife|Neo
vimeo.com,Vimeo,39,Vimeo|Vim|Vimblog|YT
linkedin.com,LI,39,LI|TBli|MMli|Galaxy|GCtrwtr|MLli
polygon.com,Polygon,38,Polygon|Poly
news.crunchbase.com,CB,38,CB
pehub.com,PEhub,36,PEhub|PEHub|PE|Fins
tubefilter.com,TF,36,TF|TubeFilter|TubeF|Tube
podcasts.apple.com,Apple,36,Apple|podcast|Sway|MoS|Kindredcast|SB
niemanlab.org,NL,35,NL|NiemanLab|Nieman
ben-evans.com,BE,35,BE|BEblog|BElog
goodreads.com,GR,35,GR|Goodreads|VB|GoodReads
frontofficesports.com,FOS,35,FOS
adage.com,Adage,34,Adage|AdAge|AA|THR|Ad
time.com,Time,34,Time|Time Mag|TIME|time|TIme
tech.eu,TEU,34,TEU|TechEU
nature.com,Nature,34,Nature|Nat|PDF
docs.google.com,Slides,34,Slides|Sheets|Sheet|Doc|Docs|Goog
screendaily.com,SD,33,SD|ScreenDaily|THR
supercluster.com,SuperC,33,SuperC|Supercluster|SpaceC|Spacecluster
theringer.com,Ringer,32,Ringer
apnews.com,AP,32,AP|APN|APNews
cnn.com,CNN,32,CNN
themarkup.org,Markup,32,Markup
facebook.com,FB,29,FB|FBblog|BOfb|FBstream|THfb|FBaudio
gizmodo.com,Gizmodo,29,Gizmodo|Gizm|Giz|Gizmo
knightfoundation.org,KF,29,KF|Knight
blog.google,Goog,28,Goog|Google|GoogleBlog|GSblog
cassandra.co,Cass,28,Cass|CassDaily|C1|C2|C3|AR
scientificamerican.com,SA,28,SA|SciAm|ScientificAmerican|SciAmer
on.substack.com,SS,28,SS|SSblog|Substack|ON|On.Substack|MKss
apple.com,Apple,27,Apple|Appl|App
onezero.medium.com,OZ,27,OZ|OneZero|Med|OZMed
nymag.com,NYMag,26,NYMag|Info|Intelligencer|NYInt|Vult|NY
nbcnews.com,NBC,26,NBC|CNBC
immerse.news,Immerse,26,Immerse|Med|Medium|Imm|Variety|MedImmerse
instagram.com,IG,26,IG|banksyIG|Hood Century Modern’s|ATVig|DAig|DMig
thevideoink.com,VI,26,VI|VideoInk
highsnobiety.com,HighS,26,HighS|HS|HighSnob|High Snobiety|HSnob
spacenews.com,SN,25,SN|SpaceNews
bizjournals.com,BizJ,25,BizJ|Boston BizJournal|BizJournals|Biz
marketwatch.com,MW,25,MW|MarketWatch|Barrons
theblockcrypto.com,Block,25,Block
jpl.nasa.gov,NASA,23,NASA|JPL|Nasa
slate.com,Slate,23,Slate|Slated
decrypt.co,Decrypt,23,Decrypt|Dec
finance.yahoo.com,Yahoo,22,Yahoo|YahooFin|yahoo|YahS|Yah|YF
mirror.xyz,Mirror,22,Mirror|LPxyz|Bauk|Haunmir|HV|CH1
economist.com,Economist,21,Economist|Econ
uk.reuters.com,Reuters,21,Reuters|Reut
esportsobserver.com,ESO,21,ESO|TEO
quantamagazine.org,Quanta,21,Quanta
roadtovr.com,RoadtoVR,21,RoadtoVR|RoadVR|RVR|RoadToVR|RoadtoVr
investorfieldguide.com,ILTB,20,ILTB|IVLTB|IFG|IB
hbr.org,HBR,20,HBR
politico.com,Politico,20,Politico|Polit|P
wearerockwater.com,RW,20,RW|RockW|Rockwater|RWblog
hipcityreg.substack.com,HCR,20,HCR|HCRss|RJss
si.com,SI,19,SI
digitalnative.substack.com,RWss,19,RWss|DNss
dot.la,Dot,19,Dot|Dotla|DotLA
redef.com,Redef,18,Redef|ReDef
sundance.org,Sun,18,Sun|Sundance|SI
pitchfork.com,PF,18,PF|Pitchfork
businessinsider.com.au,BI,18,BI|Insider
spectrum.ieee.org,IEEE,18,IEEE
scmp.com,SCMP,18,SCMP
about.fb.com,FB,18,FB|FBblog|Metablog
mattturck.com,MTblog,17,MTblog|MT|MattTurck|Firstmark
prweb.com,Cision,17,Cision|Cis|PRWeb
edition.cnn.com,CNN,17,CNN|Bberg
mashable.com,Mash,17,Mash|Mashable
render.betaworks.com,Med,17,Med|Medium|Betaworks|Render
github.com,Github,17,Github|Git|GitHub|GitH|Alexa|Nemo
dealstreetasia.com,DSA,17,DSA|Deal Street Asia|DIA
ai.facebook.com,FB,17,FB|FBblog|FBAI|Meta
restofworld.org,ROW,17,ROW
newzoo.com,NewZoo,17,NewZoo|Newzoo|NZ|NewZ
collider.com,Collider,16,Collider|Coll|Colliider
cbsnews.com,CBS,16,CBS|60mins|CBS60
digitalmusicnews.com,DMN,16,DMN|DM|DGM
usv.com,USV,16,USV
gamasutra.com,Gama,16,Gama|Gamasutra|GS
matthewball.vc,MB,16,MB|MBblog|essays|MattBall
martechseries.com,MTS,15,MTS|Martech|MarT|HBR
pocketgamer.biz,PG,15,PG|PGB|PCG|PocketGamer|PCGamer|PC
uploadvr.com,UploadVR,15,UploadVR|Upload|UpVR|UVR|upload
9to5mac.com,9to5mac,15,9to5mac|9to5|9to5Mac|9toMac
telegraph.co.uk,Telegraph,15,Telegraph|Tele|TDT
wired.co.uk,Wired,15,Wired|Wired UK
eu-startups.com,TEU,15,TEU|EUS|EU
thedailybeast.com,DB,15,DB|TDB|DailyBeast|DailyB
futurism.com,Futurism,15,Futurism|Futur|Byte
propublica.org,ProP,15,ProP|ProPub|PP
musically.com,Musically,15,Musically|MA|MusicA|Mally|Mscly
hypebeast.com,HB,15,HB|HighS|HypeB|Hype
newsroom.spotify.com,Spot,14,Spot|Med
hackernoon.com,HackerNoon,14,HackerNoon|HN|Hackernoon|Med|Medium
thehustle.co,Hustle,14,Hustle
cointelegraph.com,CT,14,CT
vogue.com,Vogue,14,Vogue
kotaku.com,Kotaku,14,Kotaku|Kot|Kotak
thecut.com,Cut,14,Cut|TheCut
lumapartners.com,LP,14,LP|PDF|Luma|YT
sportsbusinessjournal.com,SBJ,14,SBJ
ign.com,IGN,14,IGN
oaktreecapital.com,PDF,14,PDF|HM|Oaktree|OakT
calcalistech.com,CCT,14,CCT|CTech|CC|Ctech|Cal|CT
esquire.com,Esquire,13,Esquire|Esq
soundcloud.com,SC,13,SC|Soundcloud|KindredCast|Souncloud|SoundCloud
pudding.cool,Pudding,13,Pudding|PC
blog.twitter.com,Twtrblog,13,Twtrblog|Twtr|TwitterBlog|TwtrBlog
buzzfeed.com,BF,13,BF|Bfeed|Buzzfeed|BuzzFeed
nianticlabs.com,Nian,13,Nian|Nianblog|Nianticblog|NL|Niantic
kickstarter.com,KS,13,KS|Kickstarter|KickS|Kickstart
thenextweb.com,TNW,12,TNW|NextWeb
epicgames.com,EG,12,EG|Epic|Fort
edge.org,Edge,12,Edge
blog.ycombinator.com,YC,12,YC
bloombergquint.com,Bberg,12,Bberg|BbergQ|BQ|FR
getrevue.co,Markup,12,Markup|Revue|HV|DTrevue
mckinsey.com,McKinsey,12,McKinsey|McK|Mckinsey
techinasia.com,TIA,12,TIA
smithsonianmag.com,Smithsonian,12,Smithsonian|Smiths|SmithS|Smith
accesswire.com,AE,12,AE|BW|AW
every.to,Every,12,Every|Napkin
businessoffashion.com,BoF,11,BoF|BOF|BF
zdnet.com,ZDNet,11,ZDNet|ZD|ZDnet|ZDNET
pitchbook.com,PB,11,PB|Pitchbook|Pitch
mailchi.mp,MC,11,MC|Stratechery|Immerse|NineStories|WAM|NMNM
breaker.audio,Breaker,11,Breaker|Break|PlanetMoney
news.yahoo.com,Yahoo,11,Yahoo
openai.com,OAI,11,OAI|OAIblog|OpenAI
profgalloway.com,NMNM,10,NMNM|ProfG|NM
wwd.com,WWD,10,WWD
usatoday.com,USA,10,USA|USAToday
tribecafilm.com,Trib,10,Trib|TFF|Shorts|Immersive
reactionwheel.net,RW,10,RW|JN|RWblog
blog.amplify.la,Med,10,Med|Medium|Amplify|PDF
outsideonline.com,Outside,10,Outside
stitcher.com,Stitcher,10,Stitcher|Sticher|Stitch
unrealengine.com,Unreal,10,Unreal|EG|UE
nationalgeographic.com,NatGeo,10,NatGeo|Natgeo|NG
sporttechie.com,ST,10,ST|SpT|SportsTech|SPT|SBJ
nautil.us,Naut,10,Naut|Nautilus|Nautilius
barrons.com,Barrons,10,Barrons|Barron
siliconangle.com,SA,10,SA|SG|SiliconAngel
sensortower.com,ST,10,ST|Sensor|Collider
edsurge.com,EdS,10,EdS|EDS
renaissancecapital.com,RenCap,10,RenCap|Rencap|SEC|Spinning Eagle|Advancit
blog.youtube,YT,10,YT|YTblog
voguebusiness.com,Vogue,10,Vogue|VogueBiz
mediapost.com,MP,9,MP|MediaPost
magicleap.com,ML,9,ML
motherboard.vice.com,Motherboard,9,Motherboard|MB|Vice
gatesnotes.com,GN,9,GN|Gates|Strat
bothsidesofthetable.com,Med,9,Med|BSOTT|BSotT|Medium|Mark Suster|BSOT
manatt.com,Manatt,9,Manatt|MD|M|ManattDigital|Man
towardsdatascience.com,Med,9,Med|TDS
thedrum.com,Drum,9,Drum|TheDrum
blog.coinbase.com,Med,9,Med|CB|CBblog|Coinbase|OSmed
esportsinsider.com,ESI,9,ESI|ESO|EI|Esports
sports.yahoo.com,Yahoo,9,Yahoo
aeon.co,Aeon,9,Aeon
nasdaq.com,Nasdaq,9,Nasdaq|Nasd
multichannel.com,MCN,9,MCN|MC|MultiChannelNews
blog.medium.com,Med,9,Med|Medium
asia.nikkei.com,Nikkei,9,Nikkei
futureparty.com,FP,9,FP|TFP
netflixtechblog.com,Med,9,Med|NflxMed
visualcapitalist.com,VC,9,VC|VizCap|VisualC|VisCap
drive.google.com,PDF,9,PDF|Drive|GDrive
kottke.org,Kottke,9,Kottke|Kott|Kot
theblock.co,Block,9,Block
cheddar.com,Cheddar,8,Cheddar|Ched
dailymail.co.uk,DailyMail,8,DailyMail|DM|Mail|Guard|Dailymail
sportsbusinessdaily.com,SBD,8,SBD
pewresearch.org,PEW,8,PEW|Pew
btigresearch.com,BTIG,8,BTIG
digg.com,Digg,8,Digg
news.artnet.com,Artnet,8,Artnet|ArsT
hunterwalk.com,HW,8,HW|HWblog|Homebrew
news.cheddar.com,Cheddar,8,Cheddar|Medium|Med
tim.blog,TF,8,TF|TFblog
continuations.com,Cont,8,Cont|Continuations
collaborativefund.com,CF,8,CF|Collab|Medium|CollabFund
ai.googleblog.com,Goog,8,Goog|GAI|oogle Blog|GoogR|GoogleBlog
cjr.org,CJR,8,CJR
news.sky.com,Sky,8,Sky
aws.amazon.com,AWS,8,AWS|Amzn|AWSblog
slideshare.net,LI,8,LI|Slideshare
theathletic.com,Athletic,8,Athletic
next.massivesci.com,MassSci,8,MassSci|Massci
notboring.co,NotBoring,8,NotBoring|PMblog|PMss|NBss|Boring
musicxtechxfuture.com,MusicX,8,MusicX|Musicx|MXF|MTF
devonhdolan.substack.com,issue 124,8,issue 124|issue 198|issue 155|issue 168|Cis|Dead
thestreamable.com,Stream,8,Stream|Streamable
sciencemag.org,Science,8,Science|SciMag|Sci
vccafe.com,VCcafe,8,VCcafe|VCCafe
musebycl.io,Muse,8,Muse|Clio
newsroom.fb.com,FB,7,FB|FBnewsroom
news.greylock.com,Greylock,7,Greylock|Grey|GL|Med
angel.co,AL,7,AL
kwokchain.com,KK,7,KK|KKblog
theconversation.com,Convo,7,Convo|Observer|Conversation
adexchanger.com,Ad,7,Ad|AdEx|Adweek|AdX
newlab.com,NewLab,7,NewLab|NL|TechFancy
markets.businessinsider.com,MI,7,MI|BI
om.co,OM,7,OM|Om|OMblog
verizon.com,VZ,7,VZ|Verizon
open.nytimes.com,Med,7,Med|Medium|NYTMed
vrscout.com,VRS,7,VRS|VRScout|VRF|VR
news.mit.edu,MIT,7,MIT
complex.com,Complex,7,Complex|Comp
waterandmusic.com,CHblog,7,CHblog|WAM|WaterM|WM
newatlas.com,NA,7,NA|NewAtlas|NewsAtlas|Atlas|NewsA
opendoclab.mit.edu,MIT,7,MIT|ODL|MIt
cell.com,Cell,7,Cell|PDF
evolutionmediacapital.com,EMC,7,EMC
bbc.co.uk,BBC,7,BBC|Bbc
mgs.blog,Med,7,Med|MGS
newsroom.tiktok.com,TT,7,TT|TTblog|Tik
musicx.substack.com,Musicx,7,Musicx|MusicX
fiercevideo.com,FV,6,FV|FC
pewinternet.org,PEW,6,PEW
harpers.org,Harpers,6,Harpers|HB|HI
inverse.com,Inverse,6,Inverse
thetwentyminutevc.com,20vc,6,20vc|HS|VC20|20minVC
haystack.vc,Haystack,6,Haystack|Hay|HS|SS
tracking-board.com,TB,6,TB
about.att.com,ATT,6,ATT
pwc.com,PWC,6,PWC
betakit.com,BK,6,BK|BetaK
nasa.gov,Nasa,6,Nasa|NASA
l2inc.com,L2,6,L2
theintercept.com,Intercept,6,Intercept
filmmakermagazine.com,Filmmaker,6,Filmmaker|FI|FilmmakerMag|Film|FM
vrfocus.com,VRF,6,VRF|VRfocus|VR
25iq.com,25IQ,6,25IQ
broadcastingcable.com,BC,6,BC|B\&C|BroadcastingCable
money.cnn.com,CNN,6,CNN
brainpickings.org,BP,6,BP|BrainPickings
voicebot.ai,VB,6,VB|VAI|VBAI|Voicebot
techradar.com,TR,6,TR|TechRadar
alleywatch.com,AW,6,AW
nvidia.com,Nvid,6,Nvid|Nvidia|Nvd
www2.deloitte.com,Del,6,Del|Deloitte|Dblog
future.a16z.com,Future,6,Future|a16z|a16zFuture
sciof.fi,SciofFi,6,SciofFi|SciFi|Scifi
dev.mirror.xyz,Mirr,6,Mirr|Mirror|Mir
pnas.org,PNAS,6,PNAS
joincolossus.com,PDF,6,PDF|Coll|IVLTB|InvestLikeBest|Col|Colossus
yahoo.com,Yahoo,6,Yahoo
awfulannouncing.com,AA,6,AA
gamedaily.biz,GBD,6,GBD|GDB|GD|Twitch
pioneerworks.org,PW,6,PW|video|PWblog|BC
massivesci.com,MassSci,6,MassSci|Massci
hotpodnews.com,HP,6,HP|HotP|HotPod|HPN|Hotpod
marker.medium.com,Marker,6,Marker|Med
macrumors.com,MacR,6,MacR
patentlyapple.com,PA,6,PA|PatentlyA|Pat|ARP|AP
lbbonline.com,LBB,6,LBB|LLB
midiaresearch.com,Midia,5,Midia|MR|Mid
feld.com,Feld,5,Feld|FT|BF
itunes.apple.com,iTunes,5,iTunes|Apple
petapixel.com,PP,5,PP
eugenewei.com,EW,5,EW|EWblog
governor.ny.gov,NYC,5,NYC|NYgov|Gov
blogs.microsoft.com,Msft,5,Msft|Msftblog
economictimes.indiatimes.com,ET,5,ET|IT|ETIndia
msn.com,MSN,5,MSN
firstround.com,FirstRound,5,FirstRound|FR|First Round Review|FRCap
space.com,Space,5,Space
shift.newco.co,NewCoShift,5,NewCoShift|NewCo
theoutline.com,Outline,5,Outline
dazeddigital.com,Dazed,5,Dazed|Dazedd
papers.ssrn.com,SSRN,5,SSRN|SSN
eurogamer.net,EG,5,EG|EuroG
stabmag.com,Stab,5,Stab
technical.ly,Technically,5,Technically|TechN|Tech|Technicaly|Techn
ted.com,TED,5,TED|Time|Ted
appleinsider.com,AI,5,AI|AppleInsider
bostonglobe.com,BG,5,BG|Bberg
a24films.com,A24,5,A24|a24
mediaplaynews.com,MPN,5,MPN
nycmedialab.org,NYCML,5,NYCML|NYCMedLab|NYC|NYCNL|NYCM
hovercast.com,Hovercast,5,Hovercast|great
slashfilm.com,Slash,5,Slash
dropbox.com,PDF,5,PDF|Dropbox|MyDropbox
fwb.help,FWB,5,FWB|FWBblog
phys.org,Phys,5,Phys|Nana
bleacherreport.com,BR,5,BR
emshort.blog,ESblog,5,ESblog|Emshort
sfgate.com,SFGate,5,SFGate|SFG
microsoft.com,Msft,5,Msft|Msftblog
trapital.co,Trapital,5,Trapital|Trap
robbreport.com,RR,5,RR|robb|Robb|RobbReport
screenrant.com,SR,5,SR|ScR
reutersinstitute.politics.ox.ac.uk,Reut,5,Reut|PDF|RI|TK
tech.fb.com,FB,5,FB
efeng.medium.com,Med,5,Med
platformer.news,CNss,5,CNss|Plat
blog.substack.com,SS,5,SS|HMss|SSblog
netflixtechblog.medium.com,Med,5,Med|NflxMed
insider.com,Insider,5,Insider|Bi|BI
notion.so,Notion,5,Notion|Sah
citylab.com,CityLab,5,CityLab|CL|Citylab
techfundingnews.com,TFN,5,TFN
jenkinsthevalet.medium.com,Med,5,Med|JVT
